id|team_fifa_api_id|team_api_id|date|buildUpPlaySpeed|buildUpPlaySpeedClass|buildUpPlayDribbling|buildUpPlayDribblingClass|buildUpPlayPassing|buildUpPlayPassingClass|buildUpPlayPositioningClass|chanceCreationPassing|chanceCreationPassingClass|chanceCreationCrossing|chanceCreationCrossingClass|chanceCreationShooting|chanceCreationShootingClass|chanceCreationPositioningClass|defencePressure|defencePressureClass|defenceAggression|defenceAggressionClass|defenceTeamWidth|defenceTeamWidthClass|defenceDefenderLineClass
559|485|9904|2011-02-22 00:00:00|55|Balanced||Little|56|Mixed|Organised|55|Normal|43|Normal|53|Normal|Organised|39|Medium|37|Press|53|Normal|Cover
560|485|9904|2012-02-22 00:00:00|65|Balanced||Little|58|Mixed|Organised|63|Normal|44|Normal|64|Normal|Organised|39|Medium|45|Press|47|Normal|Cover
561|485|9904|2013-09-20 00:00:00|78|Fast||Little|58|Mixed|Organised|66|Normal|39|Normal|41|Normal|Organised|39|Medium|48|Press|47|Normal|Cover
562|485|9904|2014-09-19 00:00:00|48|Balanced|55|Normal|38|Mixed|Organised|38|Normal|51|Normal|40|Normal|Organised|37|Medium|48|Press|56|Normal|Cover
563|485|9904|2015-09-10 00:00:00|48|Balanced|55|Normal|41|Mixed|Organised|38|Normal|51|Normal|40|Normal|Organised|35|Medium|50|Press|61|Normal|Cover
580|166|8177|2010-02-22 00:00:00|60|Balanced||Little|50|Mixed|Organised|45|Normal|55|Normal|55|Normal|Organised|55|Medium|30|Contain|55|Normal|Cover
581|166|8177|2011-02-22 00:00:00|59|Balanced||Little|43|Mixed|Organised|56|Normal|50|Normal|66|Normal|Organised|50|Medium|43|Press|55|Normal|Cover
582|166|8177|2012-02-22 00:00:00|48|Balanced||Little|45|Mixed|Organised|45|Normal|51|Normal|46|Normal|Organised|50|Medium|50|Press|55|Normal|Cover
583|166|8177|2013-09-20 00:00:00|40|Balanced||Little|55|Mixed|Organised|63|Normal|46|Normal|63|Normal|Organised|50|Medium|38|Press|55|Normal|Cover
584|166|8177|2014-09-19 00:00:00|68|Fast|52|Normal|55|Mixed|Organised|51|Normal|59|Normal|59|Normal|Organised|41|Medium|60|Press|51|Normal|Cover
585|166|8177|2015-09-10 00:00:00|47|Balanced|44|Normal|55|Mixed|Organised|59|Normal|68|Lots|45|Normal|Organised|50|Medium|45|Press|57|Normal|Cover
591|10029|8226|2010-02-22 00:00:00|70|Fast||Little|30|Short|Organised|70|Risky|55|Normal|55|Normal|Organised|65|Medium|70|Double|65|Normal|Offside Trap
592|10029|8226|2011-02-22 00:00:00|75|Fast||Little|35|Mixed|Organised|72|Risky|51|Normal|68|Lots|Free Form|68|High|50|Press|52|Normal|Cover
593|10029|8226|2012-02-22 00:00:00|61|Balanced||Little|53|Mixed|Organised|42|Normal|62|Normal|54|Normal|Organised|47|Medium|59|Press|40|Normal|Cover
594|10029|8226|2013-09-20 00:00:00|32|Slow||Little|53|Mixed|Organised|36|Normal|62|Normal|64|Normal|Organised|47|Medium|52|Press|45|Normal|Cover
595|10029|8226|2014-09-19 00:00:00|68|Fast|49|Normal|63|Mixed|Organised|68|Risky|38|Normal|55|Normal|Free Form|56|Medium|57|Press|54|Normal|Cover
596|10029|8226|2015-09-10 00:00:00|69|Fast|49|Normal|53|Mixed|Organised|66|Normal|62|Normal|59|Normal|Organised|63|Medium|61|Press|38|Normal|Cover
603|111239|8234|2011-02-22 00:00:00|47|Balanced||Little|54|Mixed|Organised|54|Normal|51|Normal|46|Normal|Organised|37|Medium|50|Press|53|Normal|Cover
604|111239|8234|2012-02-22 00:00:00|55|Balanced||Little|46|Mixed|Organised|47|Normal|53|Normal|51|Normal|Organised|33|Deep|42|Press|49|Normal|Cover
605|111239|8234|2013-09-20 00:00:00|55|Balanced||Little|46|Mixed|Organised|47|Normal|53|Normal|51|Normal|Organised|33|Deep|42|Press|49|Normal|Cover
606|111239|8234|2014-09-19 00:00:00|54|Balanced|59|Normal|47|Mixed|Organised|53|Normal|33|Little|52|Normal|Organised|42|Medium|36|Press|49|Normal|Cover
607|111239|8234|2015-09-10 00:00:00|55|Balanced|51|Normal|46|Mixed|Organised|47|Normal|53|Normal|51|Normal|Organised|37|Medium|48|Press|49|Normal|Cover
783|169|9905|2010-02-22 00:00:00|45|Balanced||Little|40|Mixed|Organised|45|Normal|70|Lots|70|Lots|Organised|50|Medium|70|Double|50|Normal|Cover
784|169|9905|2011-02-22 00:00:00|65|Balanced||Little|50|Mixed|Organised|59|Normal|62|Normal|53|Normal|Organised|57|Medium|53|Press|43|Normal|Cover
785|169|9905|2012-02-22 00:00:00|68|Fast||Little|57|Mixed|Organised|55|Normal|39|Normal|60|Normal|Organised|52|Medium|65|Press|53|Normal|Cover
786|169|9905|2013-09-20 00:00:00|66|Balanced||Little|52|Mixed|Organised|55|Normal|37|Normal|56|Normal|Organised|48|Medium|65|Press|53|Normal|Cover
787|169|9905|2014-09-19 00:00:00|67|Fast|54|Normal|57|Mixed|Organised|55|Normal|38|Normal|44|Normal|Organised|53|Medium|60|Press|52|Normal|Cover
788|169|9905|2015-09-10 00:00:00|60|Balanced|43|Normal|53|Mixed|Organised|49|Normal|40|Normal|44|Normal|Organised|55|Medium|62|Press|47|Normal|Cover
950|10030|8460|2010-02-22 00:00:00|70|Fast||Little|49|Mixed|Organised|50|Normal|34|Normal|55|Normal|Organised|30|Deep|48|Press|30|Narrow|Cover
951|10030|8460|2011-02-22 00:00:00|52|Balanced||Little|48|Mixed|Organised|49|Normal|37|Normal|55|Normal|Organised|36|Medium|48|Press|40|Normal|Cover
952|10030|8460|2012-02-22 00:00:00|67|Fast||Little|59|Mixed|Organised|52|Normal|48|Normal|68|Lots|Organised|33|Deep|52|Press|53|Normal|Cover
953|10030|8460|2013-09-20 00:00:00|67|Fast||Little|59|Mixed|Organised|52|Normal|48|Normal|68|Lots|Organised|40|Medium|52|Press|53|Normal|Cover
954|10030|8460|2014-09-19 00:00:00|73|Fast|46|Normal|55|Mixed|Organised|52|Normal|48|Normal|63|Normal|Organised|33|Deep|55|Press|53|Normal|Cover
955|10030|8460|2015-09-10 00:00:00|67|Fast|46|Normal|62|Mixed|Organised|56|Normal|48|Normal|56|Normal|Organised|25|Deep|29|Contain|54|Normal|Cover
1148|34|10189|2010-02-22 00:00:00|65|Balanced||Little|55|Mixed|Organised|55|Normal|70|Lots|70|Lots|Organised|70|High|45|Press|70|Wide|Cover
1149|34|10189|2011-02-22 00:00:00|63|Balanced||Little|57|Mixed|Organised|55|Normal|70|Lots|62|Normal|Organised|37|Medium|67|Double|38|Normal|Cover
1150|34|10189|2012-02-22 00:00:00|50|Balanced||Little|36|Mixed|Organised|59|Normal|52|Normal|56|Normal|Organised|43|Medium|44|Press|53|Normal|Cover
1151|34|10189|2013-09-20 00:00:00|60|Balanced||Little|47|Mixed|Organised|62|Normal|54|Normal|52|Normal|Organised|45|Medium|58|Press|42|Normal|Cover
1152|34|10189|2014-09-19 00:00:00|39|Balanced|54|Normal|45|Mixed|Organised|42|Normal|56|Normal|41|Normal|Organised|51|Medium|51|Press|40|Normal|Cover
1153|34|10189|2015-09-10 00:00:00|58|Balanced|43|Normal|42|Mixed|Organised|64|Normal|61|Normal|37|Normal|Organised|55|Medium|59|Press|56|Normal|Cover
1330|36|10269|2010-02-22 00:00:00|70|Fast||Little|30|Short|Organised|60|Normal|70|Lots|70|Lots|Organised|65|Medium|50|Press|60|Normal|Cover
1331|36|10269|2011-02-22 00:00:00|64|Balanced||Little|48|Mixed|Organised|60|Normal|62|Normal|56|Normal|Organised|45|Medium|56|Press|39|Normal|Cover
1332|36|10269|2012-02-22 00:00:00|50|Balanced||Little|42|Mixed|Organised|56|Normal|66|Normal|48|Normal|Organised|47|Medium|44|Press|43|Normal|Cover
1333|36|10269|2013-09-20 00:00:00|59|Balanced||Little|41|Mixed|Organised|58|Normal|66|Normal|65|Normal|Organised|47|Medium|52|Press|38|Normal|Cover
1334|36|10269|2014-09-19 00:00:00|54|Balanced|61|Normal|53|Mixed|Organised|60|Normal|56|Normal|48|Normal|Organised|46|Medium|54|Press|40|Normal|Cover
1335|36|10269|2015-09-10 00:00:00|59|Balanced|55|Normal|41|Mixed|Organised|58|Normal|66|Normal|48|Normal|Organised|41|Medium|44|Press|32|Narrow|Cover
1373|38|8697|2010-02-22 00:00:00|70|Fast||Little|40|Mixed|Organised|70|Risky|40|Normal|70|Lots|Organised|70|High|65|Press|70|Wide|Cover
1374|38|8697|2011-02-22 00:00:00|64|Balanced||Little|40|Mixed|Organised|65|Normal|48|Normal|64|Normal|Organised|64|Medium|48|Press|68|Wide|Cover
1375|38|8697|2012-02-22 00:00:00|54|Balanced||Little|40|Mixed|Organised|68|Risky|58|Normal|48|Normal|Organised|49|Medium|50|Press|65|Normal|Cover
1376|38|8697|2013-09-20 00:00:00|68|Fast||Little|33|Short|Organised|71|Risky|67|Lots|78|Lots|Organised|60|Medium|50|Press|64|Normal|Cover
1377|38|8697|2014-09-19 00:00:00|40|Balanced|55|Normal|47|Mixed|Organised|37|Normal|40|Normal|51|Normal|Organised|40|Medium|50|Press|45|Normal|Cover
1378|38|8697|2015-09-10 00:00:00|56|Balanced|55|Normal|63|Mixed|Organised|68|Risky|66|Normal|58|Normal|Organised|63|Medium|47|Press|73|Wide|Cover
1415|175|8721|2010-02-22 00:00:00|65|Balanced||Little|45|Mixed|Organised|65|Normal|60|Normal|70|Lots|Organised|45|Medium|60|Press|50|Normal|Cover
1416|175|8721|2011-02-22 00:00:00|65|Balanced||Little|45|Mixed|Organised|65|Normal|36|Normal|51|Normal|Organised|58|Medium|47|Press|66|Normal|Cover
1417|175|8721|2012-02-22 00:00:00|54|Balanced||Little|59|Mixed|Organised|67|Risky|56|Normal|48|Normal|Organised|38|Medium|40|Press|45|Normal|Cover
1418|175|8721|2013-09-20 00:00:00|58|Balanced||Little|57|Mixed|Organised|68|Risky|72|Lots|70|Lots|Organised|64|Medium|42|Press|55|Normal|Cover
1419|175|8721|2014-09-19 00:00:00|58|Balanced|67|Lots|45|Mixed|Organised|68|Risky|60|Normal|54|Normal|Organised|59|Medium|48|Press|47|Normal|Cover
1420|175|8721|2015-09-10 00:00:00|68|Fast|45|Normal|57|Mixed|Organised|69|Risky|66|Normal|50|Normal|Organised|66|Medium|46|Press|55|Normal|Cover
